qtr_yr,TICKER,qdate,dpr,roe,roa,GProf,npm,fcf_ocf,cash_debt,cash_lt,ocf_lct,totdebt_invcap,de_ratio,debt_ebitda,intcov_ratio,curr_ratio,cash_ratio,quick_ratio,DIVAMT,change_div,Industry
Q4 2013,XOM,2013-12-31,0.334,0.156,0.169,0.209,0.083,0.25,0.27,0.03,0.626,0.121,0.956,0.395,126.733,0.827,0.068,0.602,0.63,0,Energy
Q1 2014,XOM,2014-03-31,0.343,0.154,0.165,0.206,0.083,0.278,0.27,0.032,0.646,0.114,0.99,0.373,126.733,0.854,0.075,0.615,0.63,-1,Energy
Q2 2014,XOM,2014-06-30,0.329,0.161,0.162,0.201,0.087,0.318,0.27,0.034,0.689,0.114,0.969,0.388,126.733,0.868,0.08,0.622,0.69,0,Energy
Q3 2014,XOM,2014-09-30,0.332,0.159,0.158,0.199,0.089,0.322,0.27,0.033,0.691,0.112,0.944,0.395,126.733,0.879,0.079,0.624,0.69,0,Energy
Q4 2014,XOM,2014-12-31,0.356,0.152,0.148,0.188,0.089,0.27,0.268,0.028,0.698,0.151,0.966,0.567,54.098,0.819,0.072,0.561,0.69,0,Energy
Q1 2015,XOM,2015-03-31,0.414,0.13,0.128,0.168,0.086,0.146,0.268,0.032,0.594,0.134,0.947,0.585,89.821,0.883,0.083,0.615,0.69,-1,Energy
Q2 2015,XOM,2015-06-30,0.498,0.11,0.116,0.156,0.08,0.152,0.268,0.029,0.598,0.149,0.956,0.72,70.593,0.873,0.079,0.599,0.73,0,Energy
Q3 2015,XOM,2015-09-30,0.6,0.093,0.102,0.141,0.076,0.124,0.268,0.028,0.571,0.166,0.968,0.914,55.84,0.866,0.079,0.584,0.73,0,Energy
Q4 2015,XOM,2015-12-31,0.749,0.077,0.09,0.131,0.068,0.127,0.19,0.023,0.562,0.197,0.936,1.251,16.246,0.79,0.069,0.489,0.73,0,Energy
Q1 2016,XOM,2016-03-31,0.94,0.062,0.081,0.119,0.059,0.107,0.19,0.026,0.503,0.187,0.958,1.351,30.75,0.86,0.08,0.556,0.73,-1,Energy
Q2 2016,XOM,2016-06-30,1.168,0.05,0.073,0.111,0.051,0.064,0.19,0.026,0.438,0.199,0.955,1.608,20.952,0.861,0.082,0.55,0.75,0,Energy
Q3 2016,XOM,2016-09-30,1.384,0.043,0.065,0.103,0.045,0.034,0.19,0.028,0.373,0.211,0.953,1.935,10.491,0.86,0.088,0.548,0.75,0,Energy
Q4 2016,XOM,2016-12-31,1.588,0.038,0.07,0.108,0.04,0.268,0.141,0.023,0.464,0.211,0.935,1.84,0.806,0.869,0.077,0.553,0.75,0,Energy
Q1 2017,XOM,2017-03-31,1.248,0.049,0.08,0.115,0.047,0.432,0.141,0.028,0.502,0.215,0.941,1.637,9.523,0.856,0.089,0.554,0.75,-1,Energy
Q2 2017,XOM,2017-06-30,1.085,0.057,0.084,0.119,0.054,0.524,0.141,0.028,0.552,0.211,0.917,1.535,10.77,0.84,0.088,0.54,0.77,0,Energy
Q3 2017,XOM,2017-09-30,0.987,0.063,0.093,0.128,0.058,0.508,0.141,0.027,0.584,0.202,0.899,1.333,15.595,0.838,0.082,0.537,0.77,0,Energy
Q4 2017,XOM,2017-12-31,0.66,0.095,0.094,0.128,0.083,0.488,0.195,0.021,0.52,0.193,0.822,1.324,8.944,0.816,0.055,0.522,0.77,0,Energy
Q1 2018,XOM,2018-03-31,0.647,0.095,0.099,0.136,0.083,0.478,0.195,0.025,0.546,0.193,0.848,1.202,22.132,0.823,0.07,0.522,0.77,-1,Energy
Q2 2018,XOM,2018-06-30,0.638,0.097,0.105,0.142,0.08,0.434,0.195,0.024,0.533,0.191,0.837,1.125,25.965,0.818,0.064,0.519,0.82,0,Energy
Q3 2018,XOM,2018-09-30,0.585,0.108,0.112,0.149,0.084,0.484,0.195,0.026,0.567,0.19,0.824,1.049,26.56,0.814,0.067,0.519,0.82,0,Energy
Q4 2018,XOM,2018-12-31,0.662,0.096,0.118,0.155,0.075,0.456,0.244,0.021,0.63,0.173,0.77,0.925,15.602,0.84,0.053,0.508,0.82,0,Energy
Q1 2019,XOM,2019-03-31,0.756,0.086,0.111,0.147,0.067,0.402,0.244,0.027,0.57,0.188,0.814,1.053,26.873,0.811,0.067,0.515,0.82,-1,Energy
Q2 2019,XOM,2019-06-30,0.803,0.082,0.107,0.142,0.065,0.333,0.244,0.028,0.524,0.197,0.818,1.153,22.914,0.791,0.068,0.503,0.87,0,Energy
Q3 2019,XOM,2019-09-30,0.986,0.067,0.097,0.132,0.056,0.257,0.244,0.027,0.495,0.209,0.825,1.358,17.915,0.779,0.067,0.494,0.87,0,Energy
Q4 2019,XOM,2019-12-31,1.022,0.066,0.09,0.123,0.056,0.18,0.182,0.019,0.464,0.23,0.854,1.661,8.178,0.782,0.048,0.493,0.87,0,Energy
Q1 2020,XOM,2020-03-31,1.306,0.052,0.082,0.116,0.046,0.092,0.182,0.037,0.42,0.24,0.868,1.836,10.818,0.768,0.091,0.496,0.87,0,Energy
Q2 2020,XOM,2020-06-30,2.073,0.033,0.069,0.102,0.034,-0.076,0.182,0.049,0.347,0.257,0.897,2.372,4.779,0.813,0.13,0.524,0.87,0,Energy
Q3 2020,XOM,2020-09-30,4.478,0.016,0.057,0.089,0.017,-0.196,0.182,0.053,0.281,0.274,0.928,3.046,0.474,0.833,0.148,0.534,0.87,0,Energy
Q4 2020,XOM,2020-12-31,0.6981063829787233,-0.114,-0.026,0.006,-0.126,-0.178,0.087,0.026,0.26,0.339,1.073,-8.206,-15.572,0.796,0.077,0.462,0.87,0,Energy
Q1 2021,XOM,2021-03-31,0.6981063829787233,-0.097,-0.018,0.013,-0.106,0.222,0.087,0.043,0.307,0.309,1.021,-10.952,-21.862,0.846,0.127,0.521,0.87,0,Energy
Q2 2021,XOM,2021-06-30,0.6981063829787233,-0.07,0.0,0.031,-0.062,0.558,0.087,0.03,0.464,0.306,1.051,809.982,-17.39,0.827,0.086,0.511,0.87,0,Energy
Q3 2021,XOM,2021-09-30,0.6981063829787233,-0.032,0.026,0.057,-0.024,0.668,0.087,0.024,0.582,0.299,1.073,7.234,-10.133,0.837,0.067,0.521,0.87,-1,Energy
Q4 2021,XOM,2021-12-31,0.648,0.127,0.129,0.159,0.083,0.749,0.295,0.042,0.85,0.238,0.968,1.22,15.029,1.044,0.12,0.713,0.88,0,Energy
Q1 2022,XOM,2022-03-31,0.58,0.143,0.151,0.18,0.084,0.747,0.295,0.038,0.849,0.252,1.039,1.072,36.592,0.968,0.103,0.653,0.88,0,Energy
Q2 2022,XOM,2022-06-30,0.384,0.212,0.194,0.221,0.111,0.771,0.295,0.06,0.945,0.233,1.027,0.771,58.737,1.053,0.153,0.743,0.88,0,Energy
Q3 2022,XOM,2022-09-30,0.288,0.275,0.226,0.251,0.134,0.781,0.295,0.096,1.079,0.215,1.001,0.611,74.063,1.163,0.238,0.849,0.88,0,Energy
Q1 2014,GM,2014-03-31,1.189,0.142,0.062,0.131,0.028,0.291,0.103,0.228,0.217,0.543,3.183,3.278,14.194,1.287,0.457,1.055,0.3,0,Consumer Discretionary
Q2 2014,GM,2014-06-30,1.937,0.096,0.06,0.128,0.021,0.207,0.103,0.231,0.191,0.571,3.188,3.623,10.784,1.28,0.451,1.057,0.3,0,Consumer Discretionary
Q3 2014,GM,2014-09-30,0.895,0.082,0.058,0.126,0.019,-0.061,0.103,0.229,0.147,0.576,3.084,3.86,8.399,1.278,0.442,1.059,0.3,0,Consumer Discretionary
Q4 2014,GM,2014-12-31,0.688,0.106,0.073,0.137,0.025,-0.18,0.071,0.208,0.153,0.69,3.995,3.742,3.306,1.273,0.449,1.066,0.3,0,Consumer Discretionary
Q1 2015,GM,2015-03-31,1.142,0.122,0.074,0.139,0.03,-0.587,0.071,0.208,0.124,0.637,3.537,3.358,14.82,1.266,0.423,1.053,0.3,-1,Consumer Discretionary
Q2 2015,GM,2015-06-30,0.885,0.147,0.081,0.145,0.036,-0.597,0.071,0.194,0.154,0.666,3.79,3.263,18.189,1.253,0.409,1.041,0.36,0,Consumer Discretionary
Q3 2015,GM,2015-09-30,0.871,0.147,0.085,0.147,0.035,-0.581,0.071,0.181,0.184,0.713,4.159,3.348,19.454,1.212,0.386,1.008,0.36,0,Consumer Discretionary
Q4 2015,GM,2015-12-31,0.224,0.257,0.091,0.147,0.064,-0.923,0.078,0.162,0.168,0.752,3.867,3.707,4.54,1.092,0.35,0.899,0.36,-1,Consumer Discretionary
Q1 2016,GM,2016-03-31,0.219,0.293,0.089,0.144,0.071,-1.316,0.078,0.16,0.158,0.754,4.121,3.675,19.54,1.094,0.344,0.893,0.38,0,Consumer Discretionary
Q2 2016,GM,2016-06-30,0.19,0.328,0.092,0.142,0.083,-1.365,0.078,0.154,0.16,0.766,4.003,3.736,19.16,1.037,0.332,0.837,0.38,0,Consumer Discretionary
Q3 2016,GM,2016-09-30,0.171,0.345,0.095,0.142,0.092,-0.904,0.078,0.15,0.197,0.777,3.875,3.8,18.861,0.984,0.323,0.787,0.38,0,Consumer Discretionary
Q4 2016,GM,2016-12-31,0.248,0.224,0.106,0.151,0.057,-0.763,0.093,0.149,0.194,0.849,4.052,3.836,4.239,0.895,0.31,0.733,0.38,0,Consumer Discretionary
Q1 2017,GM,2017-03-31,0.232,0.234,0.098,0.141,0.066,-0.522,0.093,0.146,0.224,0.825,3.936,3.931,18.249,0.917,0.305,0.741,0.38,0,Consumer Discretionary
Q2 2017,GM,2017-06-30,0.237,0.22,0.097,0.137,0.064,-0.567,0.093,0.144,0.206,0.845,4.051,4.023,18.254,0.899,0.297,0.743,0.38,0,Consumer Discretionary
Q3 2017,GM,2017-09-30,0.319,0.159,0.09,0.131,0.049,-0.963,0.093,0.138,0.164,0.854,4.183,4.357,15.545,0.901,0.291,0.755,0.38,0,Consumer Discretionary
Q4 2017,GM,2017-12-31,6.672,0.009,0.116,0.162,0.002,-0.595,0.098,0.145,0.225,0.911,5.036,3.75,3.961,0.894,0.333,0.755,0.38,0,Consumer Discretionary
Q1 2018,GM,2018-03-31,6.672,-0.029,0.09,0.128,-0.008,-0.756,0.098,0.136,0.187,0.885,4.712,4.579,14.054,0.899,0.299,0.764,0.38,0,Consumer Discretionary
Q2 2018,GM,2018-06-30,6.672,-0.032,0.086,0.126,-0.009,-0.765,0.098,0.134,0.19,0.898,4.912,4.947,11.446,0.893,0.301,0.754,0.38,0,Consumer Discretionary
Q3 2018,GM,2018-09-30,2.057,0.031,0.091,0.128,0.008,-0.619,0.098,0.138,0.199,0.917,5.046,4.907,12.031,0.881,0.309,0.744,0.38,0,Consumer Discretionary
Q4 2018,GM,2018-12-31,0.268,0.215,0.108,0.14,0.055,-0.671,0.083,0.157,0.186,0.906,4.749,4.425,2.726,0.916,0.351,0.796,0.38,0,Consumer Discretionary
Q1 2019,GM,2019-03-31,0.255,0.246,0.092,0.129,0.063,-0.663,0.083,0.143,0.177,0.907,4.795,5.063,10.286,0.906,0.318,0.776,0.38,0,Consumer Discretionary
Q2 2019,GM,2019-06-30,0.258,0.237,0.095,0.131,0.063,-0.612,0.083,0.147,0.175,0.902,4.639,4.944,10.874,0.927,0.325,0.797,0.38,0,Consumer Discretionary
Q3 2019,GM,2019-09-30,0.266,0.222,0.095,0.132,0.062,-0.321,0.083,0.152,0.209,0.896,4.446,4.865,10.915,0.944,0.335,0.813,0.38,0,Consumer Discretionary
Q4 2019,GM,2019-12-31,0.329,0.164,0.098,0.135,0.049,-0.597,0.082,0.146,0.177,0.926,4.357,4.677,2.164,0.883,0.313,0.761,0.38,0,Consumer Discretionary
Q1 2020,GM,2020-03-31,0.491,0.114,0.08,0.115,0.036,-0.392,0.082,0.176,0.193,0.927,4.453,5.988,7.428,0.97,0.384,0.842,0.38,1,Consumer Discretionary
Q3 2022,GM,2022-09-30,0.033,0.161,0.089,0.124,0.066,0.066,0.085,0.166,0.216,0.764,2.944,5.044,11.131,1.127,0.385,0.936,0.09,0,Consumer Discretionary
Q3 2011,KMI,2011-09-30,2.055,0.065,0.089,0.088,0.045,0.509,0.094,0.019,0.63,0.709,6.03,6.246,2.089,0.428,0.106,0.394,0.3,0,Energy
